"Louis","m",21
"Louisa","w",4
"Louise","w",2
"Lovis","w",1
"Lovis","m",2
"Lua","w",2
"Luan","m",10
"Luana","w",6
"Luc","m",3
"Luca","w",1
"Luca","m",16
"Lucas","m",5
"Lucia","w",2
"Lucía","w",3
"Lucie","w",1
"Lucien","m",2
"Lucienne","w",2
"Lucy","w",3
"Ludovica","w",2
"Ludwig","m",2
"Luis","m",17
"Luisa","w",6
"Luise","w",1
"Luiz","m",1
"Luka","m",4
"Lukas","m",6
"Luke","m",2
"Luna","w",10
"Luzia","w",2
"Luzian","m",1
"Lydia","w",1
"Lynn","w",6
"Madlaina","w",2
"Mads","m",1
"Mael","m",7
"Maël","m",8
"Maeva","w",3
"Magdalena","w",1
"Magnus","m",1
"Maha","w",1
"Mahir","m",2
"Mai","w",1
"Maia","w",2
"Maila","w",1
"Maja","w",1
"Malak","w",1
"Malea","w",7
"Malek","m",1
"Malia","w",7
"Malik","m",6
"Malin","w",7
"Malina","w",2
"Malka","w",2
"Malou","w",4
"Manon","w",1
"Mara","w",12
"Marc","m",1
"Marcel","m",2
"Marco","m",2
"Marcos","m",1
"Marcus","m",1
"Margarete","w",1
"Margherita","w",1
"Margot","w",1
"Maria","w",9
"Marianna","w",1
"Mariano","m",2
"Maribel","w",1
"Marie","w",4
"Mariella","w",1
"Marietta","w",1
"Marilou","w",2
"Marin","m",4
"Marina","w",1
"Marino","m",1
"Marion","w",1
"Marius","m",3
"Mark","m",1
"Marla","w",3
"Marlen","w",1
"Marlene","w",1
"Marlo","m",4
"Marlon","m",8
"Marta","w",4
"Martha","w",1
"Martim","m",1
"Martin","m",1
"Martina","w",4
"Martino","m",1
"Marvin","m",2
"Mary","w",1
"Maryam","w",2
"Mascha","w",3
"Massimiliano","m",1
"Massimo","m",1
"Matej","m",3
"Mateo","m",19
"Matheus","m",2
"Mathias","m",1
"Mathilda","w",4
"Mathilde","w",1
"Mathis","m",1
"Matija","m",2
"Matilda","w",11
"Matilde","w",2
"Mats","m",5
"Mattea","w",2
"Matteo","m",12
"Matthew","m",2
"Matti","m",1
"Mattia","m",5
"Mattis","m",3
"Maura","w",1
"Maurice","m",5
"Mauricio","m",1
"Mauro","m",1
"Maurus","m",1
"Max","m",10
"Maxim","m",2
"Maxime","m",3
"Maximilian","m",17
"Maxine","w",5
"Maxwell","m",1
"May","w",2
"Maya","w",10
"Mayla","w",2
"Medea","w",1
"Medina","w",2
"Melina","w",5
"Melisa","w",1
"Melissa","w",1
"Melody","w",1
"Men","m",1
"Menachem","m",1
"Meret","w",2
"Merjem","w",3
"Merle","w",4
"Merlin","m",2
"Meron","m",2
"Meta","w",1
"Mete","m",2
"Mia","w",20
"Mian","m",1
"Michael","m",3
"Michail","m",1
"Michele","m",2
"Miguel","m",1
"Mihajlo","m",1
"Mika","w",1
"Mika","m",5
"Mila","w",11
"Milan","m",1
"Milena","w",2
"Milica","w",1
"Milla","w",4
"Milo","m",11
"Miloš","m",1
"Mina","w",5
"Minna","w",1
"Mio","m",1
"Mira","w",3
"Miran","m",2
"Mirco","m",1
"Miriam","w",3
"Miro","m",8
"Mischa","m",2
"Mohamed","m",5
"Moira","w",1
"Mona","w",1
"Morena","w",1
"Moreno","m",1
"Moris","m",1
"Moritz","m",10
"Morris","m",1
"Moshe","m",1
"Muhamed","m",1
"Muhammad","m",3
"Muhammed","m",1
"Muriel","w",1
"Myra","w",1
"Myrto","w",1
"Nadia","w",1
"Nadine","w",1
"Nadja","w",2
"Nael","m",7
"Nahuel","m",1
"Naila","w",1
"Naira","w",1
"Nando","m",1
"Naomi","w",5
"Narin","w",1
"Natalia","w",3
"Natalie","w",4
"Natan","m",1
"Nathan","m",6
"Nathanael","m",1
"Natnael","m",1
"Nea","w",1
"Nedim","m",1
"Nejla","w",1
"Nela","w",2
"Nelio","m",6
"Nella","w",1
"Nelson","m",1
"Neo","m",3
"Nerina","w",1
"Nestor","m",1
"Neva","w",3
"Nevio","m",4
"Nicholas","m",1
"Nick","m",1
"Nico","m",6
"Nicola","m",1
"Nicolas","m",5
"Nicolás","m",1
"Nicole","w",2
"Nicolò","m",1
"Niels","m",1
"Nik","m",1
"Nika","w",3
"Niki","w",1
"Nikita","m",2
"Niklas","m",2
"Nikola","m",2
"Nikolai","m",1
"Nikolaj","m",1
"Nikolaos","m",1
"Nikolas","m",2
"Nikolija","w",1
"Nikolina","w",2
"Nikos","m",1
"Nila","w",1
"Nils","m",6
"Nima","m",1
"Nina","w",1
"Nino","m",6
"Nisa","w",1
"Nives","w",1
"Noa","w",7
"Noa","m",3
"Noah","m",24
"Noam","m",4
"Noan","m",2
"Noar","m",1
"Noe","m",3
"Noé","m",11
"Noée","w",2
"Noel","m",2
"Noelia","w",5
"Noëlle","w",1
"Noemi","w",4
"Noëmi","w",1
"Noémie","w",4
"Nola","w",2
"Nora","w",14
"Norah","w",3
"Nour","w",2
"Noura","w",1
"Nova","w",2
"Nuno","m",1
"Nura","w",1
"Nuria","w",3
"Odile","w",1
"Olga","w",2
"Olin","m",1
"Oliver","m",8
"Olivia","w",24
"Olivier","m",2
"Olympia","w",1
"Omar","m",1
"Omer","m",1
"Ömer","m",2
"Ona","w",1
"Oona","w",1
"Orell","m",3
"Orlando","m",1
"Oscar","m",7
"Oskar","m",9
"Otis","m",2
"Ottilia","w",2
"Otto","m",2
"Owen","m",1
"Pablo","m",4
"Paco","m",1
"Paola","w",1
"Patrick","m",1
"Paul","m",6
"Paula","w",7
"Paulina","w",2
"Pedro","m",1
"Pelin","w",1
"Penelope","w",3
"Petar","m",1
"Petra","w",2
"Phil","m",1
"Philine","w",2
"Philip","m",1
"Philippa","w",1
"Philippe","m",3
"Pia","w",3
"Piero","m",1
"Pietro","m",1
"Pina","w",3
"Pinchas","m",1
"Pino","m",1
"Quentin","m",3
"Quinn","m",3
"Rachel","w",4
"Rachele","w",1
"Rafael","m",7
